Tên Sản Phẩm,Thông tin,Giá Bán,Giá Gốc,GPU,RAM,Loại RAM,Số khe RAM,Bộ Nhớ,Kích Thước,Màn Hình,Dung Lượng Pin,Hệ Điều Hành,Độ Phân Giải,CPU,Cổng Giao Tiếp,Chip AI,Độ Dày,Trọng Lượng,Hãng Sản Xuất
Laptop Dell Vostro 3530 2H1TPI5 - Nhập khẩu chính hãng,I5-1334U/16GB/512GB PCIE/15.6 FHD/WIN11 PRO/ĐEN,15690000.0,18990000.0,Intel UHD Graphics,16GB,DDR4 2666 MHz,"2 khe (2x 8GB, nâng cấp tối đa 16GB)",512GB SSD (1 Slot SSD Tối đa 1TB),15.6 inches,Góc nhìn rộng (WVA) Độ phủ màu NTSC 45% Màn hình chống chói,"41Wh , 3Cell","Máy nguyên bản Free OS, được tặng Win11 Pro",1920 x 1080 pixels (FullHD),"Intel Core i5-1334U thế hệ thứ 13 / 10 nhân 12 luồng / 0.9 GHz to 4.6 GHz, 12MB",1x Đầu nối nguồn 1x HDMI 1.4 1x USB 3.2 Gen 1 1x Khe cắm thẻ SD 1x USB 2.0 1x Cổng tai nghe 3.5mm 1x Cổng Lan 1x Type C,,18.0,1.7,Dell
Laptop ASUS Expertbook B1402CBA-NK2669W,I5-1235U/16GB/512GB PCIE/14.0 FHD/WIN11/ĐEN,13290000.0,19990000.0,Intel UHD Graphics,16GB,DDR4 Onboard,,512GB M.2 2280 NVMe PCIe 4.0 SSD,14 inches,Độ sáng 250 nits  Độ phủ màu NTSC: 45% Màn hình chống chóiTỷ lệ tương phản 500:1,"42WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home ,1920 x 1080 pixels (FullHD),"Intel Core i5-1235U (1.7 GHz, 12M Cache, up to 4.4 GHz, 12 lõi)","1x USB 2.0 Type-A 1x USB 3.2 Gen 1 Type-A 1x USB 3.2 Gen 1 Type-C (Sạc) 1x USB 3.2 Gen 2 Type-C (display / Sạc) 1x HDMI 1.4, up to 1920x1080/60Hz 1x 3.5mm Combo Audio Jack 1x RJ45 Gigabit Ethernet",,18.0,1.5,ASUS
Laptop HP Gaming Victus 16-S0173AX A9LG9PA,R5-7640HS/16GB/512GB PCIE/VGA 6GB RTX3050/16.1 FHD 144HZ/WIN11/ĐEN,19490000.0,27390000.0,NVIDIA GeForce RTXTM 3050 (6 GB GDDR6),16GB,DDR5-5600 MHz,2 khe (8GB + 8GB),512 GB PCIe Gen4 NVMeTM M.2 SSD,16.1 inches,Độ phủ màu 45% NTSCĐộ sáng 250 nitsMàn hình chống chói,"4-cell, 70 Wh Li-ion polymer",Windows 11 Home Single Language,1920 x 1080 pixels (FullHD),"AMD Ryzen 5 7640HS (up to 5.0 GHz max boost clock,16 MB L3 cache, 6 lõi,12 luồng)","1x USB Type-A (HP Sleep and Charge) 1x USB Type-C (Sac, DisplayPortTM 1.4a, HP Sleep and Charge) 2x USB Type-A 1x HDMI 2.1 1x RJ-45 1x Bộ chuyển đổi điện xoay chiều thông minh 1x Cổng kết hợp tai nghe/micrô",,23.5,2.3,HP
MacBook Pro 16 M3 Pro 36GB - 512GB | Chính hãng Apple Việt Nam,,57990000.0,74990000.0,18 nhânNeural Engine 16 nhân,36GB,,,512GB,16.2 inches,Độ sáng XDR: 1000 nit liên tục ở chế độ toàn màn hìnhĐộ sáng đỉnh 1600 nit (chỉ nội dung HDR)True ToneProMotion ,72.4Wh,,3024 x 1964 pixels ,Apple M3 Pro 12 nhân,Hai cổng Thunderbolt / USB 4 (USB-C)Ba cổng Thunderbolt 4 (USB-C)Cổng HDMI Cổng HDMIKhe thẻ nhớ SDXCJack 3.5mm,,15.5,1.56,Apple
Laptop Lenovo IdeaPad Flex 5 14ABR8 82XX00DMVN,R5-7430U/16GB/512 PCIE/14.0 WUXGA/CẢM ỨNG/BÚT/WIN11/XÁM,15990000.0,16990000.0,AMD Radeon Graphics,16GB,LPDDR5x-8448,Không nâng cấp,"Ổ cứng SSD 512GB M.2 2242 PCIe 4.0x4 NVMe (Một ổ đĩa, tối đa 1TB M.2 2242 SSD, Một khe cắm M.2 2242 PCIe 3.0 x4)",14 inches,Độ sáng 300nits Độ phủ màu 45% NTSC  TÜV Low Blue Light,52.5Wh,"Windows 11 Home Single Language, English",1920 x 1200 pixels (WUXGA),"AMD Ryzen 5 7430U (6 lõi / 12 luồng, 2.3 / 4.3GHz, 3MB L2 / 16MB L3)","2x USB-A (USB 5Gbps) 1x USB-C (USB 10Gbps), với USB PD 3.0 và DisplayPort 1.4 1x HDMI 1.4b 1x giắc cắm kết hợp tai nghe / micrô (3.5 mm) 1x đầu đọc thẻ SD 1x đầu nối nguồn",,19.5,1.6,Lenovo
Laptop Dell Inspiron 15 3520 I3520-7896BLK-PUS - Nhập khẩu chính hãng,I7-1255U/16GB/1TB PCIE/15.6 FHD/CẢM ỨNG/WIN11/ĐEN,18990000.0,20490000.0,Intel Iris Xe Graphics,16GB,DDR4,"2 khe (2 x 8GB, tối đa 16GB)",1TB SSD (Thay thế ổ cứng nguyên bản (hỗ trợ nâng cấp tối đa 1TB) - 1 Slot lắp HDD),15.6 inches,Đèn nền LED Màn hình chống chói Độ sáng 250 cd/m² Mật độ điểm ảnh: 141 ppi Không gian màu RGB : NTSC Narrow Border,"3 Cell, 41 Wh",Windows 11 Home,1920 x 1080 pixels (FullHD),"Intel Core i7-1255U / Thế hệ 12 / 8 nhân 12 luồng / Up to 4,70Ghz / 12MB Intel Smart Cache",1 x HDMI 1.4 2 x USB-A 3.2 1 x USB-A 2.0 1x Jack 3.5mm,,18.0,1.8,Dell
MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 512GB | Chính hãng Apple Việt Nam,,36990000.0,,GPU 10 lõiNeural Engine 16 lõiCông nghệ dò tia tốc độ cao bằng phần cứngBăng thông bộ nhớ 120GB/s,16GB,,,512GB,15.3 inches,Màn hình Liquid RetinaCó đèn nền LEDMật độ 224 pixel mỗi inchĐộ sáng 500 nitHỗ trợ một tỷ màuDải màu rộng (P3)Công nghệ True Tone,Thời gian xem video trực tuyến lên đến 18 giờThời gian duyệt web trên mạng không dây lên đến 15 giờPin Li-Po 66.5 watt‑giờ tích hợp,macOS,2880 x 1864 pixels,CPU 10 lõi với 4 lõi hiệu năng và 6 lõi tiết kiệm điện,Cổng sạc MagSafe 3 Jack cắm tai nghe 3.5 mm Hai cổng Thunderbolt 4 (USB-C) hỗ trợ: Sạc / DisplayPort / Thunderbolt 4 (lên đến 40Gb/s) / USB 4 (lên đến 40Gb/s),,11.3,1.24,Apple
Laptop Lenovo Yoga Duet 7 13ITL6 82MA009LPH,I7-1165G7/16GB/1TB PCIE/13.0 2K/CẢM ỨNG/BÚT/WIN11 + OFFICE/TÍM,20990000.0,29990000.0,Đồ họa Intel Iris Xe tích hợp hoạt động như đồ họa UHD,16GB,DDR4-3200,Onboard (Không nâng cấp),1TB SSD M.2 2242 PCIe 3.0x4 NVMe,13 inches,Độ sáng 450nits Độ phủ màu 100% sRGBCorning Gorilla Glass 3,65W USB-C (3-pin),"Windows 11 Home Single Language, English Office Home & Student 2021",2160 x 1350 pixels,"Intel Core i7-1165G7 (4 lõi / 8 luồng, 2.8 / 4.7GHz, 12MB)","1x USB-C 3.2 Gen 1 (truyền dữ liệu và Luôn bật) 1x USB-C 3.2 Gen 1 (truyền dữ liệu và Power Delivery 3.0) 1x Thunderbolt 4 / USB4 40Gbps (truyền dữ liệu, Power Delivery 3.0 và DisplayPort 1.4) 1x giắc cắm kết hợp tai nghe / micrô (3.5 mm)",,9.2,0.8,Lenovo
MacBook Air M3 15 inch 2024 16GB - 512GB | Chính hãng Apple Việt Nam,,31990000.0,37990000.0,GPU 10 lõi,16GB,,,512GB SSD,15.3 inches,True Tone,,MacOS,,CPU Apple M3 8 LõiNeural Engine 16 lõi,Cổng sạc MagSafe 3Hai cổng Thunderbolt / USB 4,,11.3,1.24,Apple
Mac mini M2 2023 (8 CPU - 10 GPU - 16GB - 512GB) | Chính hãng Apple Việt Nam,,15990000.0,27990000.0,10 nhận GPU16 nhân Neural Engine,16GB,16GB,,512GB SSD,,Hỗ trợ xuất hình ảnh 6K 60HZ qua cổng ThunderboltXuất hình ảnh 4K qua cổng HDMI,,,,Apple M2 8 nhân ,"Jack 3.5mm, cổng HDMI, 2 cổng USB-A, Cổng Ethernet",,36.0,1.18,Apple
Laptop ASUS Zenbook S 14 OLED UX5406SA-PV140WS,U7-258V/32GB/1TB PCIE/14.0 3K OLED 120HZ/WIN11/TRẮNG/TÚI,41990000.0,44990000.0,Intel Arc Graphics,32GB,LPDDR5X Onboard,,1TB M.2 NVMe PCIe 4.0 SSD,14 inches,Thời gian phản hồi 0.2ms Độ sáng tối đa 500nits HDRĐộ phủ màu 100% DCI-P3  Display HDR True Black 5001.07 tỷ màuGiảm ánh sáng xanh 70%TÜV Rheinland-certifiedSGS Eye Care Display,"72WHrs, 2S2P, 4-cell Li-ion",Windows 11 Home Microsoft Office Home & Student 2021 + Microsoft 365 Basic,2880 x 1800 pixels,"Intel Core Ultra 7-258V 32GB 1.8 GHz (12MB Cache, up to 4.8 GHz, 8 lõi, 8 luồng)",1x USB 3.2 Gen 2 Type-A 2x Thunderbolt 4 (display / Sạc) 1x HDMI 2.1 TMDS 1x 3.5mm Combo Audio Jack,"Intel AI Boost NPU lên đến 47 TOPs, tổng hiệu năng AI lên đến 120 TOPS",13.9,1.4,ASUS
Laptop ASUS Vivobook 15 OLED A1505VA-MA492W,I7-13700H/16GB/512GB PCIE/15.6 2.8K OLED/WIN11/BẠC,20490000.0,21990000.0,Intel Iris Xe Graphics,16GB,DDR4,8GB DDR4 on board + 8GB DDR4 SO-DIMM,512GB M.2 NVMe PCIe 4.0 SSD,15.6 inches,Tỷ lệ 16:9  Thời gian phản hồi 0.2 ms  Độ sáng tối đa 600nits HDR  Độ phủ màu 100% DCI-P3  HDR True Black 600  1.07 tỷ màu  Giảm ánh sáng xanh  SGS Eye Care Display  Gamut mapping  Pantone,"50WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,2880 x 1620 pixels,"Intel Core i7-13700H 2.4 GHz (24MB Cache, up to 5.0 GHz, 14 lõi, 20 luồng)",1x USB 2.0 Type-A  1x USB 3.2 Gen 1 Type-C  2x USB 3.2 Gen 1 Type-A  1x HDMI 1.4  1x 3.5mm Combo Audio Jack  1x DC-in,,17.7,1.7,ASUS
Laptop Lenovo LOQ 15IRX9 83DV00UFVN,I7-13650HX/24GB/512GB PCIE/VGA 8GB RTX4060/15.6 FHD 144HZ/WIN11/XÁM,31990000.0,35990000.0,"NVIDIA GeForce RTX 4060 8GB GDDR6, Boost Clock 2370MHz, TGP 115W, 233 AI TOPS",24GB,DDR5-4800,2x 12GB SO-DIMM DDR5-4800 (Nâng cấp tối đa 32GB),"512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Tối đa hai ổ đĩa, 2x M.2 SSD / Nâng cấp lên đến 1TB)",15.6 inches,Độ sáng 300nits Màn hình chống chóiĐộ phủ màu 100% sRGB  G-SYNC,60Wh,Windows 11 Home Single Language,1920 x 1080 pixels (FullHD),"Intel Core i7-13650HX, 14C (6P + 8E) / 20T, P-core 2.6 / 4.9GHz, E-core 1.9 / 3.6GHz, 24MB","3x USB-A (USB 5Gbps / USB 3.2 Gen 1)  1x USB-C (USB 10Gbps / USB 3.2 Gen 2), với Lenovo PD 140W và DisplayPort 1.4  1x HDMI 2.1, up to 8K/60Hz  1x Headphone / microphone combo jack (3.5mm)  1x Ethernet (RJ-45)  1x Đầu nối nguồn",,22.7,2.4,Lenovo
Laptop Acer Aspire Lite 15 AL15-71P-517D,I5-12450H/24GB/512GB PCIE/15.6 FHD/WIN11/BẠC,14490000.0,15490000.0,Intel UHD Graphics,24GB,DDR45 4800MHz,"2 khe rời (Máy nguyên bản 16GB, được tặng 8GB, nâng cấp tối đa 64GB)",512GB PCIe NVMe SSD,15.6 inches,Độ sáng 250nitsAcer ComfyView,58Wh 3-cell Li-ion battery,Windows 11 Home,1920 x 1080 pixels (FullHD),"Intel Core i5-12450H (8 lõi / 12 luồng, up to 4.40 GHz, 12 MB)","1x USB Type-C 3x USB-A 1x HDMI 1.4 hỗ trợ HDCP 1x giắc cắm tai nghe/loa 3.5 mm, hỗ trợ tai nghe có micrô tích hợp Thẻ nhớ MicroSD lên đến 512 GB (tương thích SDXC, tương thích exFAT)",,17.9,1.6,Acer
Laptop Dell Inspiron 14 5440 71034770,CORE 7-150U/16GB/1TB PCIE/VGA 2GB MX570A/14.0 2.2K/WIN11 + OFFICE/XANH,26990000.0,29990000.0,MX570A 2GB GDDR6,16GB,DDR5 5200MHz,2x 8GB ,1TB,14 inches,,Pin liền,Windows 11 Home + OFFICE,2240 x 1400 pixels,Core 7-150U,2x USB 3.2 Gen 1 (5 Gbps) ports 1x USB 3.2 Gen 2 (10 Gbps) Type-C (Sạc / DisplayPort 1.4),,18.0,1.8,Dell
Laptop HP Envy X360 2IN1 14-FC0162TU AY8X1PA,U5-125U/16GB/512GB PCIE/14.0 2.8K OLED/CẢM ỨNG/BÚT/WIN11/BẠC,26690000.0,29890000.0,Intel Graphics,16GB,LPDDR5-6400 MT/s Onboard,,512 GB PCIe Gen4 NVMeTM M.2 SSD,14 inches,"Hỗ trợ cảm ứng đa điểm Thời gian phản hồi 0.2, UWVA edge-to-edge glass micro-edge Corning Gorilla Glass NBTTM Low Blue Light Độ sáng SDR 400 nits, HDR 500 nits Độ phủ màu 100% DCI-P3","3-cell, 59 Wh Li-ion polymerLên đến 10 giờ 30 phútHỗ trợ sạc pin nhanh: khoảng 50% trong 30 phút",Windows 11 Home Single LanguageOffice H&S tích hợp,2880 x 1800 pixels,"Intel Core Ultra 5 125U (up to 4.3 GHz with Intel Turbo Boost Technology,12 MB L3 cache,12 lõi,14 luồng)","2x USB Type-A 10Gbps 1x HDMI 2.1 1x headphone/microphone combo 1x USB Type-C (Sạc, DisplayPort 2.1, HP Sleep and Charge) 1x Thunderbolt 4 với USB Type-C (Sạc, DisplayPort 2.1, HP Sleep and Charge)",,16.9,1.6,HP
Laptop Lenovo LOQ 15IAX9E 83LK0036VN,I5-12450HX/12GB/512GB PCIE/VGA 6GB RTX3050/15.6 FHD 144HZ/WIN11/XÁM,19490000.0,21990000.0,"NVIDIA GeForce RTX 3050 6GB GDDR6, Boost Clock 1432MHz, TGP 65W, 142 AI TOPS",12GB,SO-DIMM DDR5-4800,1x 12GB SO-DIMM DDR5-4800 (Nâng cấp tối đa 32GB),"512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Tối đa hai ổ đĩa, 2x M.2 SSD, nâng cấp tối đa 1TB)",15.6 inches,Độ sáng 300nits Màn hình chống chóiĐộ phủ màu 100% sRGB,"57Wh, 135W Slim Tip (3-pin)","Windows 11 Home Single Language, English",1920 x 1080 pixels (FullHD),"Intel Core i5-12450HX, 8 lõi (4P + 4E) / 12 luồng, P-core up to 4.4GHz, E-core up to 3.1GHz, 12MB","2x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-C (USB 5Gbps / USB 3.2 Gen 1), chỉ truyền dữ liệu 1x HDMI 2.1, lên đến 8K/60Hz 1x giắc cắm kết hợp tai nghe / micrô (3.5 mm) 1x Ethernet (RJ-45) 1x Đầu đọc thẻ 1x Đầu nối nguồn",AI-Powered Gaming PC,22.7,2.4,Lenovo
Laptop ASUS ROG Strix G16 G614JV-N4369W,I7-13650HX/16GB/1TB PCIE/VGA 8GB RTX4060/16.0 WQXGA 240HZ/WIN11/XÁM/BALO/CHUỘT,34990000.0,42990000.0,NVIDIA GeForce RTX 4060 8GB GDDR6 (233 AI TOPs) Intel UHD Graphics,16GB,DDR5-4800 SO-DIMM,"2 Khe SO-DIMM (1 x 16GB, tối đa 32GB)","1TB PCIe 4.0 NVMe M.2 SSD (2 Khe cắm M.2 hỗ trợ SATA hoặc NVMe, nâng cấp tối đa 2TB)",16 inches,Thời gian phản hồi 3msĐộ sáng 500nitsĐộ phủ màu DCI-P3 100%Màn hình chống chói G-SyncROG Nebula DisplayDolby Vision HDRROG intelligent cooling,"90WHrs, 4S1P, 4-cell Li-ionSạc lại từ 0-50% trong 30 phút",Windows 11 Home,2560 x 1600 (WQXGA),"Intel Core i7-13650HX 2.6 GHz 24M  Cache, up to 4.9 GHz, 14 cores: 6 P-cores and 8 E-cores)",1x RJ45 LAN 1x Thunderbolt 4 hỗ trợ DisplayPort (40Gbps) 1x USB 3.2 Gen 2 Type-C hỗ trợ DisplayPort / cung cấp điện / G-SYNC (10Gbps) 2x USB 3.2 Gen 2 Type-A (10Gbps) 1x HDMI 2.1 FRL 1x Giắc cắm âm thanh kết hợp 3.5mm,,24.0,2.3,ASUS
Laptop Lenovo LOQ 15ARP9 83JC003VVN,R7-7435HS/12GB/512GB PCIE/VGA 6GB RTX4050/15.6 FHD 144HZ/WIN11/XÁM,25490000.0,27490000.0,"NVIDIA GeForce RTX 4050 6GB GDDR6, Boost Clock 2370MHz, TGP 105W",12GB,DDR5-4800,2 khe DDR5 (1 khe trống nâng cấp tối đa 32GB DDR5-4800),"512GB SSD M.2 2242 PCIe 4.0x4 NVMe (hai ổ đĩa SSD M.2 2242, nâng cấp tối đa 1TB)",15.6 inches,Độ sáng 300 inits  Màn hình chống chói  Độ phủ màu 100% sRGB  G-Sync,60Wh,Windows 11 Home,1920 x 1080 pixels (FullHD),"AMD Ryzen 7 7435HS (8C / 16T, 3.1 / 4.5GHz, 4MB L2 / 16MB L3)","1x USB-A  2x USB-C (PD 140W / DisplayPort 1.4) 1x HDMI 2.1, tối đa 8K/60Hz  1x Headphone / microphone combo jack (3.5mm)  1x Ethernet (RJ-45)  1x Đầu nối nguồn",,22.7,2.4,Lenovo
Laptop Lenovo ThinkBook 16 G6 IRL 21KH00Q0VN,i5-13420H/16GB/512GB PCIE/16.0WUXGA/WIN11/XÁM,17590000.0,20490000.0,Intel UHD Graphics,16GB,DDR5-5200,2x 8GB O-DIMM (nâng cấp tối đa 64GB DDR5-5200),"512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Tối đa hai ổ đĩa, SSD 2x M.2, nâng cấp tối đa 2TB)",16 inches,Độ sáng 300nits  Màn hình chống chói Độ phủ màu 45% NTSC,71Wh,Windows 11 Home,1920 x 1200 pixels (WUXGA),"Intel Core i5-13420H, 8C (4P + 4E) / 12T, P-core 2.1 / 4.6GHz, E-core 1.5 / 3.4GHz, 12MB","2x USB 3.2 Gen 1  1x USB-C 3.2 Gen 2 (Truyền dữ liệu, Power Delivery 3.0, DisplayPort 1.4) 1x Thunderbolt 4 / USB4 40Gbps 1x HDMI 2.1, up to 4K/60Hz 1x Headphone / microphone combo jack 1x Ethernet (RJ-45) 1x SD card reader",,17.1,1.8,Lenovo
Laptop Acer Aspire 7 A715-76G-59MW,I5-12450H/8GB/512GB PCIE/15.6 FHD 144HZ/VGA 4GB RTX2050/WIN11/ĐEN,15490000.0,21490000.0,"NVIDIA GeForce RTX 2050, 4 GB",8GB,DDR4 3200 MHz,"2 khe (1 khe 8 GB + 1 khe rời, nâng cấp tối đa 32 GB)","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",15.6 inches,Acer ComfyView,"3-cell Li-ion, 50 Wh",Windows 11 Home SL,1920 x 1080 pixels (FullHD),"Intel Core i5 - 12450H (8 lõi / 12 luồng, 2.00 GHz, Turbo Boost 4.4 GHz, 12 MB)","1x USB Type-C (hỗ trợ USB, DisplayPort, Thunderbolt 4)  1x Jack tai nghe 3.5 mm 3x USB 3.2 1x HDMI 1x LAN (RJ45)",,22.9,2.2,Acer
Laptop ASUS TUF Gaming A15 FA506NFR-HN006W,R7-7435HS/16GB/512GB PCIE/VGA 4GB RTX2050/15.6 FHD 144HZ/WIN11/ĐEN,16990000.0,21990000.0,"NVIDIA Geforce RTX 2050, 104 TOPS",16GB,DDR5-5600,"2 khe (1x16GB + 1 khe rời, nâng cấp tối đa 32GB)",512GB SSD M2 PCIe (Nâng cấp tối đa 1TB),15.6 inches,Độ sáng 250 nitsĐộ phủ màu 45% NTSCĐộ tương phản 1000:01:00,"48 Wh, 150 W",Windows 11,1920 x 1080 pixels (FullHD),AMD Ryzen 7 7435HS 3.1 - 4.5 GHz,1x RJ45 Gigabit Ethernet 1x USB 3.2 Gen 2 Type-C 3x USB 3.2 Gen 1 Type-A,,24.5,2.3,ASUS
Laptop ASUS Vivobook GO 15 E1504FA-NJ454W,R5-7520U/16GB/512GB PCIE/15.6 FHD/WIN11/BẠC,12390000.0,14490000.0,AMD Radeon Graphics,16GB,LPDDR5 Onboard,,512GB M.2 NVMe PCIe 3.0 SSD,15.6 inches,Độ sáng 250 nitsĐộ phủ màu 45% NTSCMàn hình chống chóiTÜV Rheinland-certified,"42WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,1920 x 1080 pixels (FullHD),"AMD Ryzen 5 7520U (4 lõi / 8 luồng, 4MB cache, up to 4.3 GHz max boost)",1x USB 2.0 Type-A1x USB 3.2 Gen 1 Type-A1x USB 3.2 Gen 1 Type-C1x HDMI 1.41x 3.5mm Combo Audio Jack 1x DC-in,,17.7,1.7,ASUS
Laptop MSI Gaming Thin 15 B13UC-1411VN V2,I7-13620H/24GB/512GB PCIE/VGA 4GB RTX3050/15.6 FHD 144HZ/WIN11/XÁM/BALO,19990000.0,21990000.0,NVIDIA GeForce RTX 3050 Laptop GPU + Intel UHD Graphics,24GB,DDR4 3200MHz,"2 khe (1x 8GB + 1x 16GB, hỗ trợ nâng cấp tối đa 64GB)","1x 512GB M.2-2280 SSD slot (NVMe PCIe Gen4x4) Hỗ trợ nâng cấp: 1x 2.5"""" SATA HDD",15.6 inches,Độ phủ màu 45% NTSCMàn hình chống chói,"3-cell, 52.4WHr",Windows 11 Home,1920 x 1080 pixels (FullHD),Intel Core i7-13620H ,1x Type-C (USB3.2 Gen1 / DisplayPort) 3x Type-A USB3.2 Gen1 1x HDMI (4K @ 30Hz) 1x RJ45 1x Mic-in 1x Headphone-out,,25.0,2.3,MSI
Laptop Lenovo ThinkPad E14 Gen 5 21JK00PEVN,I5-13420H/16GB/512GB PCIE/14.0 WUXGA/WIN11/ĐEN,19990000.0,22990000.0,Intel UHD Graphics,16GB,DDR4-3200,"2 khe (8GB Soldered + 8GB DDR4-3200, nâng cấp tối đa 40GB (8GB soldered + 32GB SO-DIMM))","512GB SSD M.2 2242 PCIe 4.0x4 NVMe Opal 2.0 (Tối đa hai ổ đĩa, 2x M.2 SSD • M.2 2242 SSD tối đa 1TB mỗi ổ)",14 inches,Độ sáng 300nits Màn hình chống chóiĐộ phủ màu 45% NTSC,47Wh (USB-C 65W (3 chân)),"Windows 11 Home Single Language, English",1920 x 1200 pixels (WUXGA),"Intel Core i5-13420H, 8 lõi (4P + 4E) / 12 luồng, P-core 2.1 / 4.6GHz, E-core 1.5 / 3.4GHz, 12MB","1x USB 2.0 1x USB 3.2 (Luôn bật) 1x USB-C 3.2 (truyền dữ liệu, PD 3.0 và DP 1.4) 1x Thunderbolt 4 / USB4 40Gbps (truyền dữ liệu, PD 3.0 và DP 1.4) 1x HDMI 2.1, lên đến 4K/60Hz 1x giắc cắm tai nghe/micrô (3.5 mm) 1x Ethernet (RJ-45)",,19.9,1.6,Lenovo
Laptop HP 15-FC0086AU A6VV9PA,R5-7430U/16GB/512GB PCIE/15.6 FHD/WIN11/BẠC,12990000.0,15190000.0,AMD Radeon Graphics,16GB,DDR4-3200 MT/s,2 x 8GB,512 GB PCIe NVMe M.2 SSD,15.6 inches,Độ sáng 250 nitsĐộ phủ màu 45% NTSCMàn hình chống chói,"3-cell, 41 Wh Li-ion polymer",Windows 11 Home ,1920 x 1080 pixels (FullHD),"AMD Ryzen 5 7430U (up to 4.3 GHz max boost clock, 16 MB L3 cache, 6 lõi, 12 luồng)",1x USB Type-C (chỉ hỗ trợ truyền dữ liệu và không hỗ trợ sạc hoặc màn hình ngoài) 2x USB Type-A 1x AC smart pin 1x HDMI 1.4b 1x headphone/microphone combo,,18.0,1.6,HP
Laptop Lenovo ThinkPad E16 Gen 1 21JN00GJVN,I5-13420H/16GB/512GB PCIE/16.0 WUXGA/WIN11/ĐEN,18990000.0,20990000.0,Intel UHD Graphics,16GB,DDR4-3200 Onboard,"1 khe trống (Máy nguyên bản 8GB, được tặng 8GB, tối đa 40GB)",512GB SSD M.2 2242 PCIe 4.0x4 NVMe Opal 2.0 (Hai khe cắm M.2 nâng cấp tối đa 1TB),16 inches,Độ sáng 300nits Độ phủ màu 45% NTSCMàn hình chống chói,47Wh,Windows 11 Home Single Language,1920 x 1200 pixels (WUXGA),"Intel Core i5-13420H, 8C (4P + 4E) / 12T, P-core 2.1 / 4.6GHz, E-core 1.5 / 3.4GHz, 12MB","1x USB 2.0 1x USB 3.2 (Always On) 1x USB-C 3.2 (Truyền dữ liệu, Sạc, DisplayPort 1.4) 1x Thunderbolt 4 / USB4 (Truyền dữ liệu, Sạc, DisplayPort 1.4) 1x HDMI 2.1, up to 4K/60Hz 1x Headphone / microphone combo jack (3.5mm) 1x RJ-45",,20.4,1.8,Lenovo
Laptop Lenovo Yoga Slim 7 14IMH9 83CV008EVN,U5-125H/16GB/1TB PCIE/14.0 WUXGA OLED/WIN11 + OFFICE/XÁM,24990000.0,25990000.0,Intel Arc Graphics,16GB,LPDDR5x-7467,Onboard,"1TB SSD M.2 2242 PCIe 4.0x4 NVMe (Một ổ đĩa, tối đa 1TB M.2 2242 SSD)",14 inches,Độ sáng 400nits Glossy Độ phủ màu 100% DCI-P3 Eyesafe Dolby Vision DisplayHDR True Black 500,65Wh (65W USB-C Slim),"Windows 11 Home Single Language, English + Microsoft 365 Basic + Office Home 2024",1920 x 1200 pixels (WUXGA),"Intel Core Ultra 5 125H, 14 lõi (4P + 8E + 2LPE) / 18 luồng, Max Turbo up to 4.5GHz, 18MB","1x USB-A (USB 5Gbps / USB 3.2 Gen 1), Luôn bật 2x USB-C (Thunderbolt 4 / USB4 40Gbps), với USB PD 3.1 và DisplayPort 1.4 1x HDMI 2.1, lên đến 4K/60Hz 1x giắc cắm kết hợp tai nghe / micrô (3.5 mm)","Intel AI Boost, up to 11 TOPS",14.9,1.4,Lenovo
Laptop ASUS Vivobook 16 X1605VA-MB1795W,I7-13620H/16GB/512GB PCIE/16.0 WUXGA/WIN11BẠC,17290000.0,19990000.0,Intel Iris Xe Graphics,16GB,DDR4,8GB DDR4 on board + 8GB DDR4 SO-DIMM (Có thể nâng cấp; Cần tháo vỏ dưới/trên),512GB M.2 NVMe PCIe 4.0 SSD,16 inches,Độ sáng 300nitsĐộ phủ màu 45% NTSCMàn hình chống chóiTÜV Rheinland-certified,"42WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,1920 x 1200 pixels (WUXGA),"Intel Core i7-13620H 2.4 GHz (24MB Cache, up to 4.9 GHz, 10 lõi, 16 luồng)",1x USB 2.0 Type-A (480Mbps) 1x USB 3.2 Gen 1 Type-C hỗ trợ cấp nguồn (5Gbps) 2x USB 3.2 Gen 1 Type-A (5Gbps) 1x HDMI 1.4 1x Giắc cắm âm thanh kết hợp 3.5mm 1x DC-in,,17.7,1.7,ASUS
